jobtype,pilot_allowed
Art-Direktor/-in,no
Arzt/Ärztin,no
Bauleiter/-in,no
Buchhalter/-in,no
Account-Manager/-in,yes
Altenpflegehelfer/-in,yes
Altenpfleger/-in,yes
Arzthelfer/-in,yes
Augenoptiker/-in,yes
Bäcker/-in,yes
Bahnarbeiter/-in,yes
Bankkaufmann/-frau,yes
Barista,yes
Barkeeper/-in,yes
Bauhelfer/-in,yes
Bauzeichner/-in,yes
Berufsfeuerwehrmann/-frau,yes
Berufskraftfahrer/-in,yes
Business-Analyst/-in,no
Bestatter/-in,yes
Betreuungskraft / Alltagsbegleiter/-in,yes
Betriebsleiter/-in,yes
Brief und Paketzusteller/-in,yes
Bürokaufmann/-frau,yes
Business Coach/-in,yes
Business-Development-Manager/-in,yes
Callcenter-Agent/-in,yes
Content-Manager/-in,yes
Einkäufer/-in,yes
Chef de Rang,no
Einzelhandelskaufmann/-frau,yes
Elektriker/-in,yes
Elektroniker/-in,yes
Controller/-in,no
Dekorateur/-in,no
Eventmanager/-in,yes
Filialleiter/-in,yes
Fitnesstrainer/-in,yes
Flugbegleiter/-in,yes
Fotograf/-in,yes
Frisör/-in,yes
Fußballtrainer/-in,yes
Gärtner/-in,yes
Geschäftsführer/-in,yes
EDV-Techniker/-in,no
Grafikdesigner/-in,yes
Handwerker/-in,yes
Haushälter/-in,yes
Ernährungsberater/-in,no
Hausmeister/-in,yes
Haustechniker/-in,yes
Host/Hostess,yes
Erzieher/-in,no
Hotelfachmann/-frau,yes
HR-Manager/-in,yes
Immobilienkaufmann/-frau,yes
Industriekaufmann/-frau,yes
IT-Administrator/-in,yes
Kassierer/-in,yes
Fahrdienstleiter/-in,no
Koch/Köchin,yes
Kosmetiker/-in,yes
Finance-Manager/-in,no
Florist/-in,no
Krankenpflegehelfer/-in,yes
Krankenschwester/-pfleger,yes
Gleisbauer/-in,no
Küchenhilfe,yes
Kundenberater/-in,yes
Kundenservice,yes
Head of Finance,no
Lagermitarbeiter/-in,yes
Landwirt/-in,yes
Lehrer/-in,yes
Informatiker/-in,no
Lieferfahrer/-in,yes
Lokführer/-in,yes
Ingenieur/-in,no
Lufttransportbegleiter/-in,yes
Management-Assistent/-in,yes
Marketing-Manager/-in,yes
Maschinenführer/-in,yes
Mechaniker/-in,yes
Jurist/-in,no
Medizinisches Personal,yes
Laborassistent/-in,no
Mechatroniker/-in,no
Meinungsforscher/-in,yes
Metzger/-in,yes
Möbelpacker/-in,yes
Mode Designer/-in,yes
Monteur/-in,yes
Müllwerker/-in,yes
Pädagoge/-in,no
Objektmanager/-in,yes
Pharmazeut/-in,no
Physiotherapeut/-in,no
Produktmanager/-in,no
Projektmanager/-in,no
Office Manager/-in,yes
Psychologe/Psychologin,no
Pflegekraft,yes
Pförtner/-in,yes
Portier/-in,yes
Produktionsmitarbeiter/-in,yes
Promoter/-in,yes
Regalauffüller/-in,yes
Reinigungskraft,yes
Qualitätssicherung,no
Reiseleiter/-in,yes
Schneider/-in,no
Reiseverkehrskaufmann/-frau,yes
Schweißer/-in,no
Softwareentwickler/-in,no
Reservierungsmitarbeiter/-in,yes
Restaurantleiter/-in,yes
Rettungssanitäter/-in,yes
Rezeptionist/-in,yes
Sachbearbeiter/-in,yes
Sales-Manager/-in,yes
Schichtleiter/-in,yes
Sozialarbeiter/-in,no
Teamleiter/-in (IT),no
Übersetzer/-in,no
Schlosser/-in,yes
Schreiner/-in,yes
Sekretär/-in,yes
Service/Kellner/-in,yes
Servicemitarbeiter/-in,yes
Sicherheitsmitarbeiter/-in,yes
Uhrmacher/-in,no
Soldat/-in,yes
Speditionskaufmann/-frau,yes
Stellvertretender Restaurantleiter/-in,yes
Tagesmutter/-vater,yes
Tankwart/-in,yes
Unternehmensberater/-in,no
Taxifahrer/-in,yes
Teamleiter/-in,yes
UX-Designer/-in,no
Teamleiter/-in (Kundenservice),yes
Teamleiter/-in (Sales),yes
Techniker/-in,yes
Telefonist/-in,yes
Umzugshelfer/-in,yes
Verkäufer/-in,yes
Versicherungskaufmann/-frau,yes
Wirtschaftswissenschaftler/-in,no
Versicherungsmathematiker/-in,yes
Vertriebler/-in,yes
Visagist/-in,yes
Zugbegleiter/-in,yes
Zusteller/-in,yes
Hebamme/Entbindungspfleger,yes
Polizist/-in,yes
Physiker/-in,yes
Handelsfachwirt/-in,yes